,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
0,0.6954606175422668,0.6820360422134399,0.6708760261535645,0.6588318943977356,0.6434048414230347,0.6212831139564514,0.5986436605453491,0.5756152272224426,0.5512193441390991,0.5273420810699463,0.5020598769187927,0.4794374704360962,0.456075519323349,0.435107946395874,0.41614532470703125
1,0.6933507919311523,0.6859718561172485,0.6760627031326294,0.6565436124801636,0.6377044916152954,0.6132432222366333,0.5856948494911194,0.5566880106925964,0.5273088216781616,0.4991688132286072,0.4745393991470337,0.4537099301815033,0.4349376857280731,0.41837894916534424,0.4044407904148102
2,0.692639172077179,0.6791707873344421,0.6666508316993713,0.651159405708313,0.6302698850631714,0.6063063144683838,0.5772945880889893,0.5467147827148438,0.5143167972564697,0.4839402735233307,0.45480361580848694,0.43067482113838196,0.4066036641597748,0.3855687081813812,0.3638432025909424
3,0.6919690370559692,0.6788251399993896,0.6639270782470703,0.6477048397064209,0.6276616454124451,0.6057024598121643,0.5790553689002991,0.5509383082389832,0.5233323574066162,0.4993067979812622,0.4761437773704529,0.45545095205307007,0.436994731426239,0.42041194438934326,0.40354853868484497
4,0.6976178884506226,0.6829128861427307,0.664604663848877,0.6425208449363708,0.616530179977417,0.588024377822876,0.5570467710494995,0.5279386043548584,0.5013024210929871,0.4784857928752899,0.45924609899520874,0.44212040305137634,0.42780664563179016,0.41345611214637756,0.3991519808769226
5,0.6954826712608337,0.6847427487373352,0.6747605800628662,0.6635642647743225,0.6489923000335693,0.6306901574134827,0.607839047908783,0.5804851055145264,0.5510119795799255,0.5214852690696716,0.49420541524887085,0.47035515308380127,0.4496258497238159,0.4316493570804596,0.4147976338863373
6,0.6943771839141846,0.6811457276344299,0.6691351532936096,0.6548926830291748,0.6380429267883301,0.6182490587234497,0.5955097675323486,0.5680506229400635,0.5388367176055908,0.5088708400726318,0.48042091727256775,0.4553374648094177,0.43303248286247253,0.41384875774383545,0.3955058157444
7,0.6945216655731201,0.6844202280044556,0.6745648384094238,0.6592267155647278,0.6454523205757141,0.6261540651321411,0.6024441123008728,0.5762550830841064,0.5465694665908813,0.5178787708282471,0.48965898156166077,0.4630812108516693,0.43922463059425354,0.418850839138031,0.39995887875556946
8,0.6925680041313171,0.685905933380127,0.6791740655899048,0.670244038105011,0.6619126796722412,0.6456315517425537,0.6262133717536926,0.6037425994873047,0.5766909718513489,0.5458864569664001,0.5127163529396057,0.4785069227218628,0.44684192538261414,0.41670697927474976,0.3883061707019806
9,0.692919909954071,0.6856982707977295,0.6775708794593811,0.6666672825813293,0.6546763777732849,0.6386011242866516,0.6204268336296082,0.598484218120575,0.5724960565567017,0.5469997525215149,0.5191416144371033,0.4917037785053253,0.4666440188884735,0.44375845789909363,0.4217987656593323
10,0.6968119144439697,0.6868090033531189,0.675309419631958,0.6624801754951477,0.6458515524864197,0.6269832849502563,0.6018028855323792,0.5749960541725159,0.5465583205223083,0.5185471773147583,0.49451813101768494,0.4725750684738159,0.4537147879600525,0.43744903802871704,0.4224412441253662
11,0.6907070279121399,0.681520938873291,0.6660996675491333,0.6508351564407349,0.6310774683952332,0.6080095767974854,0.5794157981872559,0.54868483543396,0.5185401439666748,0.49026674032211304,0.4655483663082123,0.4443167448043823,0.42504703998565674,0.40703386068344116,0.3905399441719055
12,0.7003462910652161,0.6870051026344299,0.6749582886695862,0.6605193018913269,0.642164945602417,0.6193804144859314,0.5919883847236633,0.5613452792167664,0.5307213068008423,0.5022642612457275,0.4776853322982788,0.45753607153892517,0.4397115707397461,0.42443719506263733,0.4088992476463318
13,0.6939065456390381,0.6865122318267822,0.6800705790519714,0.670300304889679,0.6563645005226135,0.6412813663482666,0.6209169626235962,0.5982645750045776,0.5702034831047058,0.5409399271011353,0.5114904046058655,0.4824906587600708,0.4569375813007355,0.43156179785728455,0.4104481041431427
14,0.6910889744758606,0.6741781234741211,0.6550599336624146,0.6371405720710754,0.6126152873039246,0.5862369537353516,0.5565636157989502,0.5246761441230774,0.494735449552536,0.46552127599716187,0.4399794638156891,0.41678833961486816,0.3973613977432251,0.37896251678466797,0.3609260618686676
15,0.6971795558929443,0.681293249130249,0.6640962362289429,0.6446338891983032,0.6214970350265503,0.5945802927017212,0.5641944408416748,0.5352399349212646,0.5071075558662415,0.48378100991249084,0.4635047912597656,0.4467174708843231,0.43151360750198364,0.4180917739868164,0.4058007001876831
16,0.6933698058128357,0.6827592849731445,0.6714357733726501,0.6584961414337158,0.6427177786827087,0.6239440441131592,0.5991670489311218,0.5707026720046997,0.5410575270652771,0.5118491649627686,0.4853099584579468,0.46352317929267883,0.4430924654006958,0.42758485674858093,0.41147497296333313
17,0.6943800449371338,0.6833845376968384,0.6711132526397705,0.6583110690116882,0.6441227793693542,0.6259435415267944,0.6038216352462769,0.577411413192749,0.5492759943008423,0.519193708896637,0.4891375005245209,0.46289539337158203,0.43649303913116455,0.41297006607055664,0.39130139350891113
18,0.6892362833023071,0.6796213984489441,0.6662255525588989,0.6476664543151855,0.6308769583702087,0.6066914796829224,0.5767512917518616,0.5455591678619385,0.5135483145713806,0.48697546124458313,0.4602370858192444,0.44053590297698975,0.4218202531337738,0.40387699007987976,0.3882768452167511
19,0.693576455116272,0.6841802000999451,0.6737107038497925,0.6625312566757202,0.6487024426460266,0.6308702826499939,0.6072697043418884,0.5791312456130981,0.5463650226593018,0.516467273235321,0.48329994082450867,0.4539491832256317,0.4284569025039673,0.40546008944511414,0.38453376293182373
20,0.6962304711341858,0.6883841156959534,0.6810271739959717,0.6715138554573059,0.6652073860168457,0.6524529457092285,0.637843906879425,0.621894121170044,0.6011611819267273,0.5762366652488708,0.5481637716293335,0.517472505569458,0.488049179315567,0.4587574601173401,0.4329865574836731
21,0.6915242671966553,0.6800529956817627,0.6678855419158936,0.6513460874557495,0.6314210295677185,0.6088176965713501,0.5810587406158447,0.5503785610198975,0.5196357369422913,0.4891141653060913,0.4612795114517212,0.4372715651988983,0.41542622447013855,0.3950558006763458,0.3777596056461334
22,0.6964710354804993,0.6828029751777649,0.6730687022209167,0.6588773131370544,0.6432005763053894,0.6261351108551025,0.6040449142456055,0.5768634080886841,0.5491592884063721,0.5179251432418823,0.4871850609779358,0.4585812985897064,0.43097230792045593,0.40608227252960205,0.3836015462875366
