,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15
894,0.6994549036026001,0.6889166235923767,0.6799554228782654,0.6706480979919434,0.6587214469909668,0.6424979567527771,0.6226880550384521,0.598050057888031,0.5695257782936096,0.5368488430976868,0.50223708152771,0.46717822551727295,0.43567460775375366,0.4053509533405304,0.3777656853199005
895,0.6941288709640503,0.6861268877983093,0.6760047078132629,0.6589146256446838,0.6408432722091675,0.6203944683074951,0.5955995917320251,0.5701326131820679,0.5416481494903564,0.5137381553649902,0.48751720786094666,0.46296221017837524,0.43932026624679565,0.41740521788597107,0.39762812852859497
896,0.6961390376091003,0.6816999912261963,0.6705893874168396,0.6573120355606079,0.6432070136070251,0.6258723139762878,0.6066071391105652,0.5859029293060303,0.5634183287620544,0.5384155511856079,0.513660728931427,0.48798882961273193,0.4609226584434509,0.43426334857940674,0.4089927673339844
897,0.6938244700431824,0.6810867786407471,0.6676534414291382,0.6522704362869263,0.633683443069458,0.6131411790847778,0.5897252559661865,0.5659756660461426,0.5380294919013977,0.5110343098640442,0.4837822914123535,0.45964446663856506,0.437940776348114,0.41596028208732605,0.39354661107063293
898,0.6912173628807068,0.681581437587738,0.6692165732383728,0.6549068093299866,0.637404203414917,0.6163332462310791,0.5916283130645752,0.5644893646240234,0.535571813583374,0.5067926049232483,0.4783240556716919,0.453208327293396,0.4286550283432007,0.4066596031188965,0.3858708441257477
899,0.697432816028595,0.6872689723968506,0.6763544678688049,0.6634951233863831,0.6487239599227905,0.6319097280502319,0.6120932102203369,0.5894622802734375,0.5643581748008728,0.5396121144294739,0.516640841960907,0.495386004447937,0.4755137860774994,0.45655256509780884,0.4378553628921509
900,0.6908726692199707,0.6749981045722961,0.6598407626152039,0.6442763805389404,0.6260181069374084,0.6053701043128967,0.5825427174568176,0.5567520260810852,0.5286298394203186,0.49975305795669556,0.47161203622817993,0.4446510076522827,0.41924136877059937,0.3955928683280945,0.37313199043273926
901,0.6965173482894897,0.6876038908958435,0.6799991726875305,0.6704366207122803,0.6588100790977478,0.6441620588302612,0.6259318590164185,0.6043927669525146,0.5798623561859131,0.5542098879814148,0.528029203414917,0.5022413730621338,0.47856488823890686,0.4565204381942749,0.4365544617176056
902,0.6954050064086914,0.6875301003456116,0.6803030967712402,0.6683202981948853,0.6521403193473816,0.6336619853973389,0.611332893371582,0.5851202011108398,0.5558909177780151,0.5261677503585815,0.49585288763046265,0.4666016399860382,0.4411067068576813,0.4173840284347534,0.39627158641815186
903,0.6945483684539795,0.6843438744544983,0.674680769443512,0.6632543206214905,0.6518373489379883,0.6371251344680786,0.6196793913841248,0.599358320236206,0.5772861838340759,0.5537160634994507,0.5291653275489807,0.5046870708465576,0.48241233825683594,0.4589429497718811,0.43922004103660583
904,0.6907089948654175,0.6788410544395447,0.6681445837020874,0.6552475094795227,0.6382985711097717,0.6173367500305176,0.5924631357192993,0.5651824474334717,0.5367271304130554,0.5084555149078369,0.48250001668930054,0.4589148759841919,0.4380880296230316,0.4187021851539612,0.40098416805267334
905,0.6946520209312439,0.6837109327316284,0.6734911203384399,0.6619006395339966,0.6479687690734863,0.6294472813606262,0.6077728867530823,0.5825627446174622,0.5554766058921814,0.527499794960022,0.5004602074623108,0.47605201601982117,0.45382070541381836,0.4329199492931366,0.41356244683265686
906,0.6931481957435608,0.6853151917457581,0.6754614114761353,0.6652635335922241,0.6526109576225281,0.6373858451843262,0.6198281645774841,0.5981463193893433,0.5729154944419861,0.5461061000823975,0.5196327567100525,0.49209702014923096,0.46713337302207947,0.4406995177268982,0.4182266891002655
907,0.6990092992782593,0.6870520710945129,0.6779484748840332,0.6668402552604675,0.6545268893241882,0.6355475783348083,0.6157214641571045,0.5923690795898438,0.5654584765434265,0.5361083745956421,0.5078595280647278,0.4812553822994232,0.4544784128665924,0.4285522997379303,0.4042258858680725
908,0.6917221546173096,0.680759847164154,0.6720708012580872,0.6627352833747864,0.6502968072891235,0.637365996837616,0.6215305328369141,0.6040962934494019,0.585067629814148,0.5671117901802063,0.5458722114562988,0.5253502726554871,0.5047475695610046,0.48610061407089233,0.4640834629535675
909,0.6914360523223877,0.6852304935455322,0.6783150434494019,0.6689475774765015,0.6586169600486755,0.6443300247192383,0.6284158229827881,0.6032405495643616,0.578918993473053,0.5533086061477661,0.5267163515090942,0.5027899742126465,0.4800552725791931,0.4595666527748108,0.4384479224681854
910,0.6961929798126221,0.6836634874343872,0.6716136932373047,0.6578320264816284,0.6422181129455566,0.6231425404548645,0.600834310054779,0.5756574273109436,0.5475738048553467,0.5175734758377075,0.4882116913795471,0.4605109989643097,0.4348970055580139,0.411308616399765,0.3894488513469696
911,0.689629316329956,0.6793109178543091,0.6699651479721069,0.6541780829429626,0.6372301578521729,0.6165814995765686,0.592790961265564,0.5654963850975037,0.5380833148956299,0.5098978281021118,0.4813925325870514,0.4551708996295929,0.42945751547813416,0.4055006206035614,0.3823041319847107
912,0.6951116919517517,0.6860414743423462,0.6744292974472046,0.6617521643638611,0.6432514786720276,0.6194373369216919,0.5933018326759338,0.565491259098053,0.5378853678703308,0.5113136768341064,0.48703426122665405,0.46355903148651123,0.44169166684150696,0.4207266569137573,0.3999987840652466
913,0.6946479082107544,0.682978093624115,0.6722712516784668,0.6576679348945618,0.6422157287597656,0.6217604875564575,0.5977410674095154,0.5708799958229065,0.5407041311264038,0.5095414519309998,0.47793763875961304,0.448087215423584,0.4189110994338989,0.3918575048446655,0.3665080666542053
914,0.693932294845581,0.6810858249664307,0.6717517375946045,0.6573259234428406,0.6407555937767029,0.6193897128105164,0.5951606631278992,0.5666583180427551,0.5359388589859009,0.5050995349884033,0.47722020745277405,0.44777774810791016,0.4227040410041809,0.39910343289375305,0.3775666058063507
915,0.6932224631309509,0.6828104257583618,0.6734593510627747,0.6627479791641235,0.6484031677246094,0.6311867833137512,0.6110208630561829,0.5884472131729126,0.561737596988678,0.5370683073997498,0.5118643641471863,0.4889437258243561,0.4673621356487274,0.4462769329547882,0.4249470829963684
916,0.6988462805747986,0.685486376285553,0.6749368906021118,0.6620358228683472,0.6463205814361572,0.6259763240814209,0.6017258167266846,0.57002192735672,0.5382793545722961,0.505407989025116,0.4748973250389099,0.44637954235076904,0.4175623655319214,0.39142516255378723,0.36917436122894287
